Intensity Vs Time, Counts Per Second
Time in Seconds ,Li7,Na23,Al27,K39,Ca43,Ti47,Fe57,Cu63,Zn66,P31,Cs133,La139,Ce140,Ta181,Au197,Pb208,Th232,Nb93,Pr141,Eu153,Tb159,Ho165,Er166,Tm169,Lu175,Rb85,Sr88,Y89,Mg24,Ba137,Hf178,Nd146,Zr90,Sm147,Gd157,Dy163,Yb172,Si29,S33,B11,V51,Se77,Mn55,Mo95,As75
35.721,0.,1000.035001225,1100.0423516305,38652.219148069,100.00035000123,100.00035000123,600.01260026461,0.,20.00001400001,4100.5884344403,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,351471.07652189,5901.2186016412,0.,0.,0.,800.02240062722,0.,0
36.45,100.00035000123,900.02835089305,1700.1011560188,39253.856290831,200.0014000098,300.00315003308,200.0014000098,0.,0.,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,391183.52021579,6601.524952264,0.,0.,0.,1100.0423516305,0.,0
37.179,0.,500.00875015313,1600.0896050179,40256.641094019,100.00035000123,100.00035000123,300.00315003308,20.00001400001,0.,4300.6472474107,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,371467.60092406,6601.524952264,200.0014000098,0.,0.,1400.0686033616,0.,0
37.908,100.00035000123,700.01715042019,1600.0896050179,39955.798272287,200.0014000098,300.00315003308,100.00035000123,0.,20.00001400001,3300.3811940279,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,0.,0.,0.,0.,362440.10598765,6701.5715185211,0.,0.,0.,1200.0504021169,0.,0
38.637,0.,600.01260026461,1200.0504021169,38251.141776555,200.0014000098,300.00315003308,400.0056000784,0.,0.,4100.5884344403,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,50.000087500153,0.,0.,0.,0.,0.,0.,0.,0.,0.,359568.90209975,8802.7112350604,0.,0.,0.,1700.1011560188,0.,0
39.366,100.00035000123,400.0056000784,1400.0686033616,37148.236985726,300.00315003308,100.00035000123,300.00315003308,0.,20.00001400001,3800.5054672271,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,341227.16297746,6201.3456920152,0.,0.,0.,1800.1134071446,0.,0
40.095,0.,600.01260026461,1700.1011560188,38451.679056652,200.0014000098,200.0014000098,300.00315003308,0.,40.000056000078,4500.7088616457,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,333548.98855341,6001.2602646556,100.00035000123,0.,0.,1600.0896050179,0.,0
40.824,100.00035000123,700.01715042019,1400.0686033616,39554.684351115,100.00035000123,100.00035000123,400.0056000784,0.,20.00001400001,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,200.0014000098,0.,0.,0.,310334.54468261,6801.6187852709,0.,100.00035000123,0.,1000.035001225,0.,0
41.553,100.00035000123,400.0056000784,2100.1543613456,37348.758804619,100.00035000123,200.0014000098,300.00315003308,0.,0.,3700.479212058,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,100.00035000123,0.,0.,0.,0.,100.00035000123,0.,0.,0.,313707.01503681,5200.9465722762,0.,0.,0.,1400.0686033616,0.,0
42.282,0.,800.02240062722,1600.0896050179,40356.923440513,300.00315003308,300.00315003308,0.,0.,0.,3200.3584401453,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,331502.16407081,7101.76478855,0.,100.00035000123,0.,1400.0686033616,0.,0
