Acquisition date,24/08/21,,,,,,,,,,,,,,
Acquisition time,10:56:04,,,,,,,,,,,,,,
Time,Li7,Be9,B11,Na23,Al27,Si29,Ti47,Ti49,Mn55,Fe57,Ga69,Ga71,Ge72,Ge73,Sn118
45.648,1527432.18,198478.67,177312.61,685453682.52,48171633.91,31397223.55,332148.88,263601.49,4512698.14,213689.18,3008068.22,2074177.31,1218553.71,336361.6,1751065.43
45.948,1533601.57,202431.96,170381.38,655457034.13,48981043.98,30972041.45,329283.98,252962.38,4367004.36,219831.49,2991414.22,2045067.9,1181982.62,340662.94,1647084.96
46.2481,1558046.3,210443.09,174226.04,702898703.53,51303152.07,31660989.73,340030.2,274350.37,4455377.36,219882.28,2995992.74,2106170.96,1228404.79,344299.63,1727825.39
46.5481,1516567.86,204763.87,174934.38,672147174.37,50768594.26,31325480.49,329283.98,260800.95,4383595.04,211659.25,2908386.76,2056826.12,1161481.74,360855.66,1645624.22
46.8481,1459932.7,197465.2,169723.84,677104280.77,49400360.72,30200534.94,314201.51,255914.06,4371020.69,200094.07,2954801.18,2040634.72,1159964.36,335696.02,1634785.06
47.1481,1407269.82,193310.61,163857.87,633765882.44,47694120.01,29489502.69,318903.52,250977.95,4179426.04,198978.63,3035569.7,2029914.22,1139115.33,330116.7,1571876.46
47.4481,1413041.49,193614.56,158651.25,619843063.57,49723221.18,30801278.64,330102.47,256168.55,4278472.37,210898.1,2971280.84,2089048.68,1140792.97,349167.07,1711788.09
47.7481,1479944.4,186017.57,171089.53,616512167.99,48214244.45,29763045.5,312872.97,250672.66,4161819.19,199181.43,2814360.23,1994448.81,1117755.47,332624.56,1566399.61
48.0482,1419438.83,193665.22,167245.69,619714586.65,47902975.87,30340583.12,308479.42,248230.74,4267142.33,211760.74,2901609.94,2026045.68,1119160.45,325869.68,1651412.11
48.3482,1374686.54,188498.83,166739.99,614852860.17,47095824.72,28881608.55,292755.2,235874.71,4106219.69,201108.18,2875131.81,1954939.36,1111056.45,321726.2,1598731.84
48.6482,1373658.31,196249.1,162037.87,605874026.65,47413667.98,30002722.24,293367.53,242636.16,4084230.13,195582.12,2731969.52,1943944.16,1067641.41,315743.33,1556792.09
48.9482,1352836.63,185055.57,170887.19,643171570.55,46455192.34,28575047.22,299543.12,237043.75,3950848.02,198319.54,2821190.11,1904053.2,1079493.65,309251.93,1524775.98
49.2482,1361998.56,189258.47,150314.34,628545850.45,48228428.15,29070993.53,305006.37,238467.07,4039234.84,194771.13,2816217.41,1888556.16,1043965.82,324999.95,1574559.77
49.5482,1345653.57,188245.63,158297.46,590868258.78,45402792.8,28397492.09,296990.89,227186.06,3776901.71,185397.41,2613375.11,1804615.75,1009382.03,296992.75,1489328.52
49.8482,1357449.12,185612.5,148698.03,583095047.63,44112753.88,27772372.46,288775.81,231758.37,3780219.84,193960.19,2657469.94,1894774.82,1050418.95,304193.73,1503897.66
50.1483,1320980.87,180246.46,154911.68,568088438.67,45047962.55,27478011.03,291071.48,235213.96,3854580.63,186157.21,2647297.13,1940968.37,1050096.29,301231.2,1517813.18
50.4483,1372280.87,183637.99,155518.03,635171348.46,45731348.14,27845559.93,282400.83,243500.63,3958666.38,192895.9,2788822.06,1988993.18,1102201.27,324027.98,1568131.74
50.7483,1420704.72,188448.19,163706.19,612141934.07,47824341.34,28639532.41,289081.88,236281.32,3972491.94,200043.37,2694689.41,1806225.74,1048375.1,316663.6,1546744.53
51.0483,1392709.68,186878.38,165374.71,600342159.51,46614030.75,29184505.14,296276.34,236992.92,3921102.32,188588.85,2698676.67,1902389.81,1053539.06,317890.72,1544401.17
51.3483,1364050.17,180550.15,155012.74,589477848.32,45505669.2,27376150.2,282961.72,233079.54,3779355.74,182206.68,2645515.75,1830100.8,1025213.77,293368.12,1473441.7
51.6483,1333814.36,177462.96,151678.25,567973461.29,44780350.75,28083469.96,285817.48,233536.89,3834568.13,183726,2673085.44,1876904.77,1029187.89,303121.02,1452859.08
51.9483,1304674.68,173364.56,152638.1,586299358.75,45394089.98,27008338.68,289285.91,233282.81,3901953.92,201615.27,2830066.69,1884138.25,1119700.88,326944.09,1581326.17
52.2484,1383373.15,185561.88,160571.92,606540466.5,45974932.06,28046297.26,289745.04,223224.54,3799153.95,187879.59,2662488.13,1835640.36,1030853.03,297452.29,1493886.72
52.5484,1329318.27,176653.32,155972.81,582568397.39,46747806.92,27250235.75,280361.45,241415.82,3942497.38,197508.4,2769749.93,1954382.35,1113433.2,317277.15,1528286.43
52.8484,1393505.1,193665.22,158701.78,590165189.33,47654160.74,28560304.68,293520.61,240653.15,3839932.45,193149.29,2711570.82,1860057.17,1007075.78,318095.26,1487883.59
53.1484,1374526.48,176602.71,158145.84,596554760.83,45961877.83,27918711.59,283165.7,231199.46,3729293.38,187778.27,2661229.79,1832489.07,1048106.25,297860.79,1517534.77
53.4484,1294212.92,174224.63,154911.68,599294746.68,45280644.16,28451973.84,286072.49,232927.1,4055507.53,193199.98,2688253.7,1873967.12,1062149.61,299903.37,1539213.48
53.7484,1344203.37,178222.05,155669.63,587366999.86,45129426.67,26808269.83,281024.22,218959.52,3755921.42,189095.5,2597426.07,1785540.12,1013083.5,295665.33,1433689.84
54.0485,1285211.05,179335.44,139811.5,553487951.35,44257111.36,26315427.22,279596.73,222665.97,3764590.04,179826.76,2604377.24,1901748.87,1041170.21,300924.76,1481327.34
54.3485,1316475.09,178728.13,148445.5,581744084.42,45607368.58,28019319,276640.28,217893.46,3751172.34,186157.21,2683910.17,1842965.4,1041492.77,313902.95,1449865.63
54.6485,1239988.29,180347.69,150364.86,584344701.21,44225593.35,27049689.42,284032.57,224900.44,3782086.29,182915.67,2560350.63,1826758.75,984247.46,294848.49,1438562.89
54.9485,1297210.31,178323.27,152031.86,583140845.13,44103658.72,26793885.41,292091.89,226271.78,3781153.07,188132.9,2670909.88,1818434.14,1057520.8,301588.7,1491718.65
55.2485,1344368.28,180803.23,150566.91,604833258.46,45479144.61,27415638.73,299083.67,241568.36,3895338.39,194264.29,2850897.47,1845796.23,1021240.82,313493.99,1493275.29
55.5485,1357347.27,182372.41,150768.96,577880524.79,46539129.4,28909696.97,306078.83,233435.25,3954394.28,197407.01,2788450.63,1914880.53,1044073.24,301895.17,1511521.68
55.8485,1362663.03,183739.25,153648.54,592875526.67,45194555.18,28324710.48,283012.72,238162.06,3884955.39,189196.83,2727686.63,1899322.45,1039665.14,308383.23,1565002.73
56.1486,1283445.59,176147.3,145415.45,569991158.73,43516491.63,26338346.8,274856.52,216522.92,3636834.93,181852.2,2584281.76,1829131.76,1003697.46,296890.65,1473552.64
56.4486,1305023.89,175084.74,154305.36,567649766.74,43119514.51,27038492.25,272971.04,235671.41,3923743.01,192439.81,2701056.89,1941037.04,1021562.89,303785.08,1472997.46
56.7486,1314476.83,171543.43,146677.89,580810219.12,45653117.85,26832621.89,278679.15,228557.62,3775055.99,189602.17,2758720.54,1788332.8,1026287.79,303172.12,1437565.92
57.0486,1311430.94,176754.52,159308.29,579117099.38,44711964.63,27036164.48,286531.49,218248.8,3674440.46,183877.93,2645121.57,1866458.95,1045471.19,304704.59,1524608.79
57.3486,1319113.57,175388.33,155214.86,569755316.32,44447705.56,26480997.32,281483.08,219873.34,3702623.87,183320.83,2566604.41,1788798.24,974237.7,295410.06,1424889.45
57.6486,1272848.03,173971.67,146021.41,553757647.75,43194606.08,26206988.95,267163.31,229726.07,3760711.97,191071.59,2507409.54,1775132.46,1014424.9,304653.52,1444268.55
57.9487,1271635.49,172656.32,142739.43,552668306.45,43863070.85,26932262.38,276232.54,220584.16,3661050.41,179573.61,2594681.99,1772362.68,996675.29,293827.54,1469167.38
58.2487,1290294,174376.42,152587.57,586533476.92,45833178.3,27969480.85,286225.49,219924.12,3636883.32,186359.84,2652967.22,1864269.07,1022314.45,299596.95,1453302.54
58.5487,1329114.57,174578.8,152132.9,588767881.92,44551449.86,26645457.25,280616.36,220482.59,3670078.5,181345.81,2645432.36,1795627.32,1020435.64,294746.41,1451195.9
58.8487,1274075.11,175287.13,152941.22,553855466.84,43905051.27,26139996.93,278169.41,216827.49,3735217.64,177194.1,2606204.11,1782213.33,1011152.15,294389.06,1445653.81
59.1487,1264505.78,172049.28,154406.42,588319411.25,43546820.73,26811075.1,276079.64,218096.51,3653833.46,176384.17,2655203.42,1789065.3,973167.58,294593.24,1480438.57
59.4487,1255285.65,171391.67,146576.9,554509332.36,42031982.67,26629580.66,262732.64,221447.29,3682175.87,184536.35,2618294.75,1846193,1053001.07,308843.12,1513080.37
59.7487,1317406.32,171037.6,147132.41,569276356.04,44362413.14,26591393.3,282400.83,230335.72,3735653.14,178307.86,2621743.8,1810277.4,998604.79,296890.65,1473164.06
60.0488,1272246.61,173465.75,141982.14,573043400.28,43245574.66,26376235.73,279698.71,226474.93,3722366.78,181345.81,2654081.53,1812139.18,1028758.2,297197,1478383.5
60.3488,1256347.83,176602.71,154659.05,567591899.55,44923673.87,27122160.66,289438.96,231504.32,3800342.95,186765.09,2729649.93,1911797.91,1032249.71,304449.17,1541667.68
60.6488,1289905.99,178829.35,154760.1,595283743.49,44398139.89,26757333.45,282451.83,227440.04,3793699.77,187474.3,2795037.94,1870121.47,1034291.31,295359.01,1458681.35
