D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a23.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:01:03 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
9.2801,500.01,0.00,19012.38,0.00,1000.03,11504.55,500.01,1500.08,2000.14,33037.78,0.00,3500.43,0.00,0.00,0.00,4000.56,60628.53,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.4601,2000.14,0.00,17009.91,0.00,0.00,11504.55,1000.03,1500.08,1500.08,35042.50,500.01,7001.70,0.00,0.00,0.00,1000.04,51091.30,500.01,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.6402,1000.03,0.00,15508.24,0.00,500.01,13005.82,2500.22,2250.17,250.00,32035.52,0.00,3000.31,0.00,500.01,0.00,4000.56,70172.12,1000.04,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.8202,500.01,0.00,14006.72,0.00,500.01,11504.55,1500.08,1750.11,750.02,31534.42,0.00,2000.14,0.00,0.00,0.00,2500.22,61632.82,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.0003,500.01,0.00,25021.44,0.00,500.01,11004.17,2500.22,2250.17,1250.05,30532.27,0.00,5501.05,0.00,0.00,0.00,3500.43,70172.12,3500.43,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.1803,1500.08,0.00,22517.37,0.00,1000.03,12004.96,2000.14,1250.05,1000.03,27526.23,0.00,2500.22,500.01,0.00,0.00,3500.43,71679.58,1000.04,0.00,0.00,0.00,500.01,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.3604,2500.21,0.00,16008.78,0.00,500.01,16008.82,1500.08,1500.08,750.02,37047.49,0.00,4000.56,0.00,0.00,0.00,1000.04,59122.23,2000.14,0.00,0.00,0.00,500.01,250.00,0.00,0.00,0.00,0.00,0.00,500.01,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.5404,2000.14,0.00,15508.24,0.00,0.00,9002.79,3500.42,2500.22,250.00,39052.77,500.01,6001.25,0.00,0.00,0.00,3000.32,65650.68,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,500.01,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.7204,0.00,0.00,17510.50,0.00,500.01,8002.20,1500.08,1750.11,500.01,30031.22,500.01,4000.56,500.01,0.00,0.00,2500.22,74192.38,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.9005,1500.08,0.00,23518.95,0.00,0.00,7501.94,1000.03,3250.36,1250.05,37548.79,500.01,5501.05,0.00,0.00,0.00,1500.08,56612.08,1500.08,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
