D:\0 ICPMS Data\User Data\Hakim, Fahmi\24_03_22_ap_ne_FIMI.b\24_03_22_a24.d
Intensity Vs Time,CPS
Acquired      : 22/03/2024 13:06:06 using Batch 24_03_22_ap_ne_FIMI.b
Time [Sec],Li7,B11,Na23,Mg24,Al27,Si29,P31,S34,Cl35,K39,Ca43,Ca44,Sc45,Ti49,V51,Mn55,Fe56,Fe57,Ni60,Cu63,Zn66,As75,Br81,Rb85,Sr88,Y89,Zr90,Nb93,Sb121,I127,Cs133,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Dy163,Er166,Yb172,Hf178,Ta181,Pb208
7.8399,500.01,0.00,18011.11,0.00,0.00,11504.55,3500.42,1250.05,1250.05,26524.35,0.00,3500.43,0.00,0.00,0.00,3500.43,63641.61,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.0199,0.00,0.00,20013.72,0.00,0.00,11504.55,1000.03,2000.14,1750.11,36546.22,0.00,3500.43,0.00,0.00,0.00,4500.71,82236.29,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,1500.08,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.2000,1000.03,0.00,20514.42,0.00,0.00,14507.24,500.01,2750.26,750.02,40556.91,0.00,1000.03,500.01,0.00,0.00,1500.08,60126.41,2000.14,0.00,0.00,0.00,0.00,1250.06,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.3800,0.00,0.00,21015.13,0.00,1000.03,11504.55,3000.31,1250.05,750.02,40055.52,0.00,3000.31,0.00,0.00,0.00,3500.43,62637.18,500.01,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5601,500.01,500.01,18511.74,0.00,1500.08,10003.44,3500.42,750.02,750.02,44568.72,500.01,2500.22,1000.03,0.00,0.00,3000.32,76705.62,0.00,0.00,0.00,0.00,0.00,1500.08,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.7401,500.01,0.00,20013.72,0.00,500.01,10003.44,1500.08,500.01,1500.08,38050.10,500.01,4500.70,500.01,0.00,0.00,2000.14,62637.18,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9201,500.01,0.00,22517.37,0.00,0.00,6501.45,1500.08,1250.05,1000.03,35543.72,0.00,3500.43,0.00,0.00,0.00,2500.22,67157.67,500.01,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.1002,2500.21,0.00,24520.59,0.00,0.00,11504.55,2000.14,1750.11,1250.05,34040.10,500.01,3500.43,0.00,0.00,0.00,1000.04,71177.08,1000.04,0.00,0.00,0.00,0.00,1000.04,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.2802,1500.08,0.00,16509.34,0.00,500.01,19012.43,2000.14,2750.26,1000.03,39554.13,0.00,4500.70,0.00,0.00,0.00,2500.22,56612.08,1000.04,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.4603,0.00,0.00,25522.31,0.00,500.01,12505.38,1000.03,2250.17,1250.05,39554.13,500.01,3000.31,500.01,0.00,0.00,1500.08,70172.12,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.6403,500.01,0.00,14507.21,0.00,0.00,9503.11,1500.08,1250.05,1500.08,36044.96,0.00,3000.31,500.01,0.00,0.00,3000.32,61130.66,1000.04,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,750.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
